City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
360,sioux lookout,CA,60.8,50.1,-91.92,broken clouds,Knobby's Fly-In Camps
361,teguise,ES,82.4,29.06,-13.56,few clouds,B&B La Casona de Nazaret
362,vao,NC,72.19,-22.67,167.48,overcast clouds,Hotel Kou-Bugny
363,denpasar,ID,78.8,-8.65,115.22,few clouds,ASTON Denpasar Hotel & Convention Center
365,urmary,RU,77.0,55.68,47.94,thunderstorm,
367,mormugao,IN,84.2,15.4,73.8,broken clouds,Hotel La-Paz Gardens
369,kano,NG,90.61,12.0,8.52,clear sky,La Sultana Hotel
371,doha,QA,105.01,25.29,51.53,few clouds,Movenpick Hotel Doha
373,mecca,SA,100.04,21.43,39.83,broken clouds,Hotel Fairmont Makkah Clock Royal Tower
374,flinders,AU,61.0,-34.58,150.86,overcast clouds,Shellharbour Resort & Conference Centre
375,gamba,GA,77.67,-2.65,10.0,broken clouds,
376,hailey,US,62.6,43.52,-114.32,light intensity drizzle,Wood River Inn & Suites
377,rajaldesar,IN,99.61,28.03,74.47,broken clouds,गायत्री कुंज
378,scarborough,GB,63.0,54.28,-0.4,few clouds,Ambassador
379,balkhash,KZ,86.0,46.84,74.98,few clouds,Family
380,langres,FR,75.2,47.83,5.33,broken clouds,Le Belvédère des Remparts
382,nantucket,US,78.01,41.28,-70.1,clear sky,Jared Coffin House
384,vernon,CA,60.01,50.26,-119.27,clear sky,Prestige Vernon Lodge and Conference Centre
385,abeche,TD,91.45,13.83,20.83,overcast clouds,Assaleh Hamdan Haroune
386,presidente olegario,BR,66.0,-18.42,-46.42,few clouds,Cruzeiro Hotel
387,sikonge,TZ,82.4,-5.63,32.77,few clouds,Daukilo Lodge
388,beaune,FR,80.6,47.08,4.75,broken clouds,La Cadolle
390,malanje,AO,90.77,-9.54,16.34,clear sky,Malanje Hotel
391,koulamoutou,GA,94.33,-1.13,12.47,clear sky,Motel Biki
392,trat,TH,81.23,12.5,102.5,overcast clouds,สวนหนิง-อัศ
393,dongsheng,CN,81.12,39.82,109.98,clear sky,Crowne Plaza Ordos
396,cayenne,GF,82.4,4.93,-52.33,broken clouds,Hôtel Le Dronmi
397,tromso,NO,71.6,69.65,18.96,broken clouds,"Radisson Blu Hotel, Tromsø"
398,natal,BR,75.2,-5.79,-35.21,shower rain,Villa Park Hotel | Natal
399,ngong,KE,66.2,-1.36,36.66,broken clouds,PEC House
400,meadville,US,71.01,41.64,-80.15,mist,Holiday Inn Express Meadville (I-79 Exit 147A)
401,teopisca,MX,71.6,16.52,-92.48,mist,Hotel El Cielo
402,namatanai,PG,80.85,-3.67,152.43,few clouds,Namatanai Hotel
403,cockburn town,TC,81.99,21.46,-71.14,clear sky,Osprey Beach Hotel
405,otradnoye,RU,70.0,59.78,30.82,light intensity shower rain,Baza otdikha Petrushinsky Khutor
406,qingyuan,CN,91.4,23.7,113.03,broken clouds,Guojin Commercial Hotel
409,doka,SD,81.19,13.52,35.77,overcast clouds,
410,ornskoldsvik,SE,64.4,63.29,18.72,scattered clouds,Scandic Örnsköldsvik
411,colares,PT,78.01,38.8,-9.45,scattered clouds,Arribas Sintra Hotel
413,carlsbad,US,64.99,33.16,-117.35,mist,Carlsbad Inn Beach Resort
414,allada,BJ,80.6,6.67,2.15,scattered clouds,Royaume hotel d' Allada
415,sambava,MG,77.18,-14.27,50.17,overcast clouds,Melrose
417,kara,TG,75.2,9.55,1.19,broken clouds,Hotel Ma Vision B2K
418,brooks,CA,62.53,50.58,-111.89,clear sky,Heritage Inn Hotel & Convention Centre
422,beyneu,KZ,90.46,45.32,55.2,clear sky,NUR
424,alta floresta,BR,74.97,-9.88,-56.09,scattered clouds,Floresta Amazonica Hotel
425,novyy urgal,RU,72.16,51.07,132.56,overcast clouds,
426,bonthe,SL,79.93,7.53,-12.51,overcast clouds,Bonthe Holiday Village
427,kattivakkam,IN,75.2,13.22,80.32,thunderstorm with light rain,St. Joseph Thirumana mandapam
428,corning,US,73.4,42.14,-77.05,light rain,Fairfield Inn by Marriott Corning Riverside
429,bocana de paiwas,NI,72.73,12.79,-85.12,broken clouds,Guapinol Cabaña Monge
431,itarema,BR,80.4,-2.92,-39.92,clear sky,Windvillage
432,abashiri,JP,64.0,44.02,144.27,broken clouds,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
433,mandalgovi,MN,72.88,45.76,106.27,scattered clouds,В.Ганбат
434,ambilobe,MG,85.89,-13.2,49.05,broken clouds,Hôtel & Restaurant DIANA Ambilobe
435,kita,ML,83.37,13.03,-9.49,overcast clouds,Hôtel Nelson Mandela
438,kunya,NG,90.68,12.22,8.53,clear sky,
441,auchtermuchty,GB,63.0,56.29,-3.23,broken clouds,The Bruce Inn
442,xambioa,BR,81.72,-6.41,-48.54,clear sky,Hotel Rio Araguaia
443,omsukchan,RU,66.9,62.53,155.8,overcast clouds,
444,batavia,US,68.0,41.85,-88.31,clear sky,Comfort Inn & Suites Geneva - West Chicago
445,honningsvag,NO,71.6,70.98,25.97,scattered clouds,Nordkapp Vandrerhjem
446,evinayong,GQ,76.93,1.44,10.55,broken clouds,
447,vaasa,FI,71.6,63.1,21.62,few clouds,Hotel Astor
448,san quintin,MX,64.65,30.48,-115.95,clear sky,Old Mill Hotel
450,high level,CA,62.6,58.52,-117.14,broken clouds,Days Inn by Wyndham High Level
451,la palma,US,62.01,33.85,-118.05,broken clouds,La Quinta Inn & Suites by Wyndham Buena Park
452,raudeberg,NO,66.2,61.99,5.14,light intensity shower rain,Nordre Silda.
455,bima,ID,70.02,-8.47,118.72,broken clouds,Lambitu Hotel
456,kununurra,AU,60.8,-15.77,128.73,few clouds,Hotel Kununurra
457,touros,BR,75.2,-5.2,-35.46,scattered clouds,INN NEW HORIZON
458,lusambo,CD,104.67,-4.97,23.45,clear sky,
459,northam,GB,62.01,51.03,-4.22,scattered clouds,Durrant House Hotel
460,visby,SE,70.0,57.64,18.3,overcast clouds,Best Western Solhem Hotel Visby
461,vilhena,BR,66.2,-12.74,-60.15,clear sky,Hotel Mirage
463,acari,PE,60.51,-15.43,-74.62,broken clouds,Hospedaje Ximens
465,belyy yar,RU,75.2,53.6,91.39,scattered clouds,Pasportnyy Stol
466,roznava,SK,82.4,48.66,20.54,few clouds,HOTEL Čierny Orol
468,ankang,CN,69.01,32.68,109.02,broken clouds,安琪酒店
469,jizan,SA,91.4,17.33,42.67,scattered clouds,شهدان. ابوالحجر
470,kalaleh,IR,96.8,37.38,55.49,few clouds,عطر و ادکلن پارسیس
471,townsville,AU,62.01,-19.25,146.8,clear sky,Rydges Southbank Townsville
472,cantanhede,BR,79.74,-3.63,-44.38,clear sky,HOTEL FE EM DEUS
474,krasnoselkup,RU,62.42,65.7,82.47,overcast clouds,Krasnosel'kupnefteprodukt
476,tadine,NC,71.91,-21.55,167.88,overcast clouds,
