City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Chambas,CU,2020-07-28 04:59:14,22.19,-78.91,82.4,83,20,9.17
188,Tuktoyaktuk,CA,2020-07-28 04:59:14,69.45,-133.04,55.4,93,90,10.29
189,Kramat,ID,2020-07-28 04:59:15,-8.13,113.45,84.51,53,83,7.9
190,Usakos,NA,2020-07-28 04:59:15,-22.0,15.6,53.56,40,0,11.03
191,Rio Tercero,AR,2020-07-28 04:59:15,-32.17,-64.11,30.0,67,8,7.09
192,Mountain Home,US,2020-07-28 04:59:15,43.13,-115.69,80.6,22,20,5.82
193,Torbay,CA,2020-07-28 04:59:16,47.67,-52.73,57.99,100,90,8.05
194,Cidreira,BR,2020-07-28 04:59:16,-30.18,-50.21,57.15,98,98,7.85
195,Qaqortoq,GL,2020-07-28 04:59:16,60.72,-46.03,46.4,87,100,5.82
196,Xinmin,CN,2020-07-28 04:59:16,41.99,122.83,82.4,69,75,6.71
197,Zhangye,CN,2020-07-28 04:59:16,38.93,100.45,94.33,11,0,9.13
198,Cheyenne,US,2020-07-28 04:59:17,41.14,-104.82,71.6,49,1,18.34
199,Christchurch,NZ,2020-07-28 04:59:17,-43.53,172.63,46.99,93,100,4.7
200,Vila Franca Do Campo,PT,2020-07-28 04:59:17,37.72,-25.43,71.6,88,40,2.01
201,Garmsar,IR,2020-07-28 04:59:17,35.22,52.34,96.93,13,0,3.87
202,Nsunga,TZ,2020-07-28 04:59:18,-1.14,31.39,73.4,60,75,5.82
203,Deputatskiy,RU,2020-07-28 04:59:18,69.3,139.9,49.32,57,99,13.24
204,Tabou,CI,2020-07-28 04:59:18,4.42,-7.35,74.55,82,100,7.29
205,Ipixuna,BR,2020-07-28 04:59:19,-1.76,-48.8,78.8,83,0,1.12
206,Najran,SA,2020-07-28 04:59:20,17.49,44.13,69.8,94,75,11.41
207,Moen,NO,2020-07-28 04:59:20,69.13,18.61,62.6,77,75,13.87
208,Inhambane,MZ,2020-07-28 04:59:20,-23.86,35.38,59.0,82,20,8.88
209,Sao Jose Do Egito,BR,2020-07-28 04:59:20,-7.48,-37.27,59.43,94,0,6.4
210,Voineasa,RO,2020-07-28 04:59:21,44.28,24.13,66.0,93,0,4.7
211,Voznesenye,RU,2020-07-28 04:59:21,61.01,35.48,66.78,73,29,5.26
212,San Vicente,AR,2020-07-28 04:59:21,-26.62,-54.13,60.42,97,54,2.3
213,Tiksi,RU,2020-07-28 04:59:21,71.69,128.87,41.09,82,100,15.46
214,Chimbote,PE,2020-07-28 04:59:21,-9.09,-78.58,58.55,89,29,5.17
215,Hofn,IS,2020-07-28 04:59:22,64.25,-15.21,51.1,70,99,5.95
216,Inyonga,TZ,2020-07-28 04:59:22,-6.72,32.07,59.94,63,47,4.92
217,Kavieng,PG,2020-07-28 04:59:22,-2.57,150.8,84.22,72,69,7.14
218,Preobrazheniye,RU,2020-07-28 04:59:22,42.9,133.91,70.59,75,65,11.63
219,Solvychegodsk,RU,2020-07-28 04:59:22,61.33,46.92,67.8,78,37,4.09
220,Bodden Town,KY,2020-07-28 04:59:23,19.28,-81.25,84.0,83,0,1.99
221,Rocha,UY,2020-07-28 04:59:24,-34.48,-54.33,44.64,63,100,10.71
222,Wasilla,US,2020-07-28 04:59:24,61.58,-149.44,68.0,63,75,4.7
223,Troitsko-Pechorsk,RU,2020-07-28 04:59:24,62.71,56.2,69.8,50,58,3.27
224,Grand Gaube,MU,2020-07-28 04:59:25,-20.01,57.66,72.0,76,15,5.01
225,Ruidoso,US,2020-07-28 04:59:25,33.33,-105.67,66.2,55,1,4.7
226,Mandalgovi,MN,2020-07-28 04:59:25,45.76,106.27,73.8,33,0,10.85
227,Fairbanks,US,2020-07-28 04:55:31,64.84,-147.72,60.8,87,90,3.22
228,Cururupu,BR,2020-07-28 04:59:25,-1.83,-44.87,73.85,92,10,3.49
229,Srednekolymsk,RU,2020-07-28 04:59:26,67.45,153.68,56.95,70,95,10.92
230,Grand-Santi,GF,2020-07-28 04:59:26,4.25,-54.38,72.48,96,74,1.14
231,Onguday,RU,2020-07-28 04:59:26,50.75,86.15,70.56,48,33,3.06
232,Norman Wells,CA,2020-07-28 04:59:26,65.28,-126.83,60.8,82,75,4.7
233,Fonte Boa,BR,2020-07-28 04:59:27,-2.5,-66.27,72.3,93,0,1.83
234,Oeiras Do Para,BR,2020-07-28 04:59:27,-2.0,-49.85,71.49,78,1,1.95
235,Virginia Beach,US,2020-07-28 04:54:54,36.85,-75.98,84.2,79,1,10.29
236,Tura,IN,2020-07-28 04:59:27,25.52,90.22,82.72,86,100,5.61
237,Avarua,CK,2020-07-28 04:59:28,-21.21,-159.78,71.6,73,49,9.17
238,Barra Patuca,HN,2020-07-28 04:59:28,15.8,-84.28,80.15,85,28,12.41
239,Marsa Matruh,EG,2020-07-28 04:59:28,31.35,27.25,73.4,88,40,12.08
240,Larap,PH,2020-07-28 04:59:29,14.3,122.65,82.02,84,100,4.07
241,Sulangan,PH,2020-07-28 04:59:29,11.14,123.72,82.65,78,100,13.38
242,Abu Samrah,SY,2020-07-28 04:59:29,35.3,37.18,86.0,38,4,5.88
243,Carnarvon,AU,2020-07-28 04:59:29,-24.87,113.63,77.0,36,0,16.11
244,Malabo,GQ,2020-07-28 04:59:29,3.75,8.78,75.2,100,20,4.7
